1037074805834256393	jeans	牛仔裤
1037074805834256394	dresses	连衣裙
1037074805834256395	T-shirt	T恤
1037074805834256396	scarf	围巾
1037074805834256397	jacket	夹克
1037074805834256398	outdoor jacket	冲锋衣
1037074805834256399	down jacket	羽绒服
1037074805834256400	sweatpants	卫裤
1037074805834256401	running shoes	跑鞋
1037074805834256402	sports socks	运动袜
1037074805834256403	basketball shoes	篮球鞋
1037074805834256404	hoodie	连帽卫衣
1037074805834256405	sports suit	运动套装
1037074805834256406	peaked cap	鸭舌帽
1037074805834256407	tablet PC	平板电脑
1037074805834256408	smart phone	智能手机
1037074805834256409	laptop	笔记本电脑
1037074805834256410	sports bracelet	运动手环
1037074805834256411	coffee	咖啡
1037074805834256412	pearl Milk Tea	珍珠奶茶
1037074805834256413	fruit tea	果茶
1037074805834256414	parboiled Cheese	半熟芝士
1037074805834256415	electric cooker	电饭锅
1037074805834256416	teacup	茶杯
1037074805834256417	dreamcatcher	捕梦网
1037074805834256418	ring	钻戒
1037074805834256419	perfume	香水
1037074805834256420	watched	手表
1037074805834256421	necklace	项链
1037074805834256422	eyeshadow compact	眼影盘
1037074805834256423	lipstick	口红
1037074805834256424	hamburger	汉堡包
1037074805834256425	chips	薯条
1037074805834256426	cleansing water	卸妆水
